,Date,Open,High,Low,Close,DaiVolume,Market Cap,DaiMean
282,17-Jul-20,1.01,1.01,1,1,7370643,207993011,1.005
283,16-Jul-20,1,1.01,0.999,1.01,9348150,200147123,1.005
284,15-Jul-20,1.01,1.01,1,1,8440095,198696041,1.005
285,14-Jul-20,1.01,1.01,1,1.01,7973915,197679308,1.01
286,13-Jul-20,1.02,1.02,1,1.01,9877101,197509891,1.015
287,12-Jul-20,1.01,1.02,1.01,1.02,7049854,193359879,1.015
288,11-Jul-20,1.02,1.02,1.01,1.01,6304152,200117229,1.015
289,10-Jul-20,1.02,1.02,1.01,1.02,7770650,191376188,1.02
290,9-Jul-20,1.02,1.02,1.01,1.02,10736036,188921259,1.02
291,8-Jul-20,1.01,1.02,1.01,1.02,9867278,188347949,1.015
292,7-Jul-20,1.01,1.02,1.01,1.01,7892018,185351875,1.01
293,6-Jul-20,1.01,1.02,1.01,1.02,8064109,181630087,1.015
294,5-Jul-20,1.01,1.01,1,1.01,7311529,174935587,1.01
295,4-Jul-20,1.01,1.02,1.01,1.01,7089984,172203078,1.01
296,3-Jul-20,1.01,1.02,1.01,1.01,9779786,163265075,1.01
297,2-Jul-20,1.01,1.01,1,1.01,7437320,151945658,1.01
298,1-Jul-20,1,1.01,0.9998,1.01,7896178,128414094,1.005
299,30-Jun-20,1,1.01,0.9982,1,6177577,127751324,1
300,29-Jun-20,1,1.01,0.9958,1,5837816,127999116,1
301,28-Jun-20,1,1.01,0.9976,1,6535165,127766776,1
302,27-Jun-20,0.9969,1,0.9909,1,8642954,127596178,0.99845
303,26-Jun-20,0.9991,1,0.9938,0.9972,7222881,127065499,0.99815
304,25-Jun-20,0.998,1,0.9888,0.9991,7327108,127308679,0.99855
305,24-Jun-20,1.01,1.01,0.9916,0.9973,7396127,127079993,1.00365
306,23-Jun-20,1.01,1.01,0.9954,1.01,6971332,128458666,1.01
307,22-Jun-20,0.9989,1.01,0.9989,1.01,8710246,128415252,1.00445
308,21-Jun-20,1,1.01,0.9972,0.9992,6025805,125385083,0.9996
309,20-Jun-20,0.9975,1.01,0.9944,1,5912944,125784696,0.99875
310,19-Jun-20,1.01,1.01,0.9957,0.9973,7869758,125151771,1.00365
311,18-Jun-20,1.01,1.01,0.9992,1.01,7064656,126157169,1.01
312,17-Jun-20,1,1.01,0.9977,1.01,7655836,126168877,1.005
313,16-Jun-20,1,1.01,0.9993,1,7757830,126059023,1
314,15-Jun-20,1.01,1.01,1,1,12038320,126111640,1.005
315,14-Jun-20,0.9974,1.02,0.9944,1.01,20182241,126687924,1.0037
316,13-Jun-20,0.9975,0.999,0.9932,0.9977,6881782,125194430,0.9976
317,12-Jun-20,1.01,1.01,0.9948,0.9975,8048161,125167316,1.00375
318,11-Jun-20,1.01,1.01,0.9832,1.01,12865280,126172139,1.01
319,10-Jun-20,1,1.01,0.9987,1.01,8351046,121551706,1.005
320,9-Jun-20,1,1.01,0.9971,1,8239780,121163650,1
321,8-Jun-20,1.01,1.01,0.9949,1,6558333,123189670,1.005
322,7-Jun-20,0.9991,1.01,0.9903,1.01,7107409,135814148,1.00455
323,6-Jun-20,1,1.01,0.9954,0.9991,6059871,131772152,0.99955
324,5-Jun-20,1.01,1.01,0.9975,0.9996,6987269,131718161,1.0048
325,4-Jun-20,1,1.01,0.9925,1.01,8110432,132227475,1.005
326,3-Jun-20,0.995,1.01,0.9931,1,7829430,131977979,0.9975
327,2-Jun-20,1.02,1.02,0.9916,0.995,12904441,120571932,1.0075
328,1-Jun-20,0.9928,1.02,0.992,1.02,10053733,126382393,1.0064
